Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Orange juice,45.0,0.2,0.0,0.0,1.0,10.0,0.2,8.4,0.7,0.0,11.0,0.2,200.0,1,100,0,3.0
Tomato juice,17.0,0.3,0.0,0.0,253.0,3.5,0.4,2.6,0.9,0.0,10.0,0.4,217.0,1,100,0,4.0
Grape juice,60.0,0.1,0.0,0.0,5.0,15.0,0.2,14.0,0.4,0.0,11.0,0.3,104.0,1,100,0,1.5
Banana juice,80.0,2.3,0.9,5.0,38.0,13.0,1.1,9.5,2.9,0.8,79.0,0.2,225.6,1,100,0,2.0
Pineapple juice,53.0,0.1,0.0,0.0,2.0,13.0,0.2,10.0,0.4,0.0,13.0,0.3,130.0,1,100,0,2.5
Apple juice,46.0,0.1,0.0,0.0,4.0,11.0,0.2,9.6,0.1,0.0,8.0,0.1,101.0,1,100,0,2.5
Mango juice,51.0,0.1,0.0,0.0,5.0,13.0,0.3,12.0,0.1,0.0,17.0,0.4,24.0,1,100,0,2.0
Water,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0,0,5.0
Coffee,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,49.0,1,0,0,3.5
Decaf coffee,2.0,0.0,0.0,0.0,4.0,0.4,0.0,0.0,0.1,0.0,4.0,0.0,36.0,1,0,0,3.5
Tea,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,0,3.5
Green tea,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.0,1,0,0,3.5
Peach tea,30.0,0.0,0.0,0.0,2.9,7.7,0.0,7.4,0.0,0.0,0.1,0.0,34.4,1,0,0,1.0
Sweet tea,31.0,0.0,0.0,0.0,0.1,8.0,0.0,7.8,0.0,0.0,0.1,0.0,19.5,1,0,0,1.0
Lemon tea,1.2,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.0,22.2,1,0,0,3.5
Black tea,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,0,3.5
Ginger tea,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,2.0,0.1,9.0,1,0,0,3.5
Raspberry tea,34.0,0.0,0.0,0.0,0.1,8.8,0.0,8.5,0.0,0.0,0.1,0.0,19.4,1,0,0,1.0
Pomegranate tea,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,2.0,0.1,9.0,1,0,0,3.5
Soda,42.0,0.3,0.0,0.0,3.0,10.0,0.0,9.9,0.0,0.0,1.0,0.0,5.0,1,0,0,0.5
Pepsi soda,42.0,0.3,0.0,0.0,3.0,10.0,0.0,9.9,0.0,0.0,1.0,0.0,5.0,1,0,0,0.5
Sprite soda,41.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.1,0.0,2.0,0.0,1.0,1,0,0,0.5
Orange soda,48.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,5.0,0.1,2.0,1,0,0,2.0
Soda coca cola,42.0,0.3,0.0,0.0,3.0,10.0,0.0,9.9,0.0,0.0,1.0,0.0,5.0,1,0,0,0.5
Diet soda,2.0,0.0,0.0,0.0,8.0,0.3,0.0,0.0,0.1,0.0,3.0,0.1,8.0,1,0,0,3.5
Lemonade,40.0,0.0,0.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,4.0,0.2,15.0,1,80,0,2.0
Limeade,52.0,0.0,0.0,0.0,3.0,14.0,0.0,13.0,0.0,0.0,2.0,0.0,10.0,1,80,0,1.0
Jelly,266.0,0.0,0.0,0.0,30.0,70.0,1.0,51.0,0.2,0.0,7.0,0.2,54.0,1,0,0,0.5
Soy milk,41.0,1.7,0.2,0.0,49.0,3.3,0.4,2.5,2.9,1.2,123.0,0.4,123.0,1,100,0,4.0
Almond milk,23.0,1.0,0.1,0.0,3.9,3.2,0.3,2.9,0.4,0.0,8.3,0.1,14.8,1,100,0,4.0
Hazelnut milk,46.0,1.5,0.1,0.0,3.6,7.9,0.3,5.9,0.5,0.0,5.9,0.1,19.9,1,100,0,3.5
Coconut milk,197.0,21.0,19.0,0.0,13.0,2.8,0.0,0.0,2.0,0.0,18.0,3.3,220.0,1,0,0,1.0
Espresso,9.0,0.2,0.1,0.0,14.0,1.7,0.0,0.0,0.1,0.0,2.0,0.1,115.0,1,0,0,3.0
Soy latte,36.0,1.3,0.2,0.0,35.0,3.8,0.3,2.5,2.1,1.0,105.0,0.4,121.9,1,0,0,2.0
Chai latte,66.0,1.2,0.7,4.6,30.0,12.0,0.3,8.7,2.0,0.6,78.0,0.1,105.2,1,0,0,0.5
Almond milk latte,21.0,0.9,0.1,0.0,5.2,3.0,0.2,2.5,0.4,0.0,7.4,0.1,28.5,1,0,0,2.5
Hazelnut latte,58.0,1.6,1.0,6.3,39.0,8.4,0.0,8.4,2.6,0.9,94.0,0.0,129.6,1,0,0,0.5
Milk,50.0,2.0,1.3,8.0,47.0,4.8,0.0,5.1,3.3,1.2,120.0,0.0,140.0,1D,0,0,4.0
Milkshake,119.0,2.7,1.7,11.0,111.0,21.0,0.3,21.0,3.1,1.0,132.0,0.3,224.0,1D,0,0,0.5
Oreo milkshake,139.0,4.3,2.2,11.0,118.0,22.0,0.2,20.0,4.0,1.1,136.0,1.0,187.0,1D,0,0,1.0
Vanilla milkshake,112.0,3.0,1.9,12.0,95.0,18.0,0.0,18.0,3.9,1.2,146.0,0.1,183.0,1D,0,0,1.5
Chocolate milkshake,119.0,2.7,1.7,11.0,111.0,21.0,0.3,21.0,3.1,1.0,132.0,0.3,224.0,1D,0,0,0.5
Strawberry milkshake,113.0,2.8,1.7,11.0,83.0,19.0,0.4,0.0,3.4,0.0,113.0,0.1,182.0,1D,0,0,4.0
Chocolate milk,83.0,3.4,2.1,12.0,60.0,10.0,0.8,9.5,3.2,1.3,112.0,0.2,167.0,1D,0,0,2.0
Vietnamese coffee,66.0,1.8,1.1,7.0,27.0,11.0,0.0,11.0,1.7,0.0,60.0,0.1,99.5,1D,0,0,3.0
Latte,44.0,1.7,1.1,6.9,42.0,4.4,0.0,4.4,2.9,1.0,104.0,0.0,136.5,1D,0,0,4.0
Mocha latte,88.0,3.2,2.0,12.0,51.0,12.0,0.3,5.6,3.3,0.9,115.0,0.3,167.3,1D,0,0,3.5
Nonfat latte,31.0,0.1,0.1,1.7,38.0,4.5,0.0,4.4,2.9,1.0,105.0,0.0,150.3,1D,0,0,4.5
Milk tea,30.0,1.3,0.8,4.0,17.0,3.5,0.0,3.4,1.3,0.5,45.0,0.0,65.3,1D,0,0,4.0
Boba tea,48.0,0.1,0.1,0.4,3.3,12.0,0.1,3.9,0.2,0.1,9.0,0.2,18.3,1D,0,0,4.0
Condensed milk,321.0,8.7,5.5,34.0,127.0,54.0,0.0,54.0,7.9,0.2,284.0,0.2,371.0,1D,0,0,0.5
Hot chocolate,55.0,0.6,0.3,0.0,73.0,12.0,0.5,9.0,0.9,0.0,21.0,0.2,99.0,1D,0,0,3.0
Smoothie,80.0,0.8,0.5,2.5,29.0,17.0,1.4,12.0,2.7,0.0,80.0,0.2,269.5,1D,0,0,3.5
Banana smoothie,86.0,1.1,0.6,3.9,27.0,18.0,1.2,11.0,2.2,0.5,68.0,0.2,251.4,1D,0,60,3.5
Strawberry smoothie,90.0,0.7,0.4,2.7,43.0,17.0,0.3,16.0,3.2,0.4,111.0,0.1,169.8,1D,0,60,3.0
Spinach smoothie,59.0,0.8,0.1,0.0,9.4,13.0,2.2,7.2,1.4,0.2,55.0,0.5,240.5,1D,0,60,4.0
Kiwi smoothie,79.0,0.9,0.5,3.0,26.0,17.0,1.2,14.0,2.2,0.2,75.0,0.2,190.0,1D,0,60,3.5
Tropical smoothie,60.0,0.3,0.1,0.0,2.9,15.0,1.5,13.0,0.6,0.0,14.0,0.3,161.5,1D,0,60,3.0
Pineapple smoothie,86.0,1.1,0.6,3.9,27.0,18.0,1.2,11.0,2.2,0.5,68.0,0.2,251.4,1D,0,60,3.5
Cappuccino,42.0,1.6,1.0,6.4,40.0,4.2,0.0,4.0,2.6,1.0,96.0,0.0,134.8,1D,0,0,4.5
Goi du du,51.0,1.1,0.2,0.0,287.0,10.0,1.7,7.1,1.2,0.0,22.0,0.3,202.8,2,0,100,4.0
Salad,24.0,0.2,0.0,0.0,37.0,5.0,2.0,2.2,1.5,0.0,44.0,1.0,283.8,2,0,100,4.5
Lecttuce salad,24.0,0.2,0.0,0.0,37.0,5.0,2.0,2.2,1.5,0.0,44.0,1.0,283.8,2,0,100,4.5
Spinach salad,158.0,12.0,4.4,75.0,291.0,3.7,1.1,1.6,8.0,0.6,46.0,1.4,337.8,2,0,100,4.0
Beet salad,231.0,20.0,4.1,7.1,223.0,9.4,1.8,6.9,4.3,0.1,59.0,1.0,241.0,2,0,100,3.5
Greek salad,113.0,9.4,3.5,16.0,233.0,4.7,1.0,2.6,3.2,0.1,105.0,0.6,150.3,2,0,100,4.0
Caesar salad,158.0,13.0,2.7,12.0,378.0,7.5,1.9,1.6,3.3,0.0,81.0,1.1,200.9,2,0,100,4.0
Caprese salad,136.0,10.0,4.9,27.0,272.0,2.9,0.7,1.8,8.2,0.1,183.0,0.4,157.6,2,0,100,4.0
Edamame salad,116.0,4.5,0.6,0.0,157.0,15.0,4.4,2.6,6.1,0.0,30.0,1.5,268.2,2,0,100,5.0
Seaweed salad,115.0,7.8,1.1,0.0,1236.0,8.6,1.9,3.5,3.1,0.0,76.0,1.5,242.4,2,0,100,3.0
Pho,90.0,2.0,0.4,12.0,460.0,11.0,0.8,1.9,6.6,0.0,16.0,0.9,191.5,2,0,0,3.5
Pho ga,54.0,1.3,0.2,9.4,368.0,6.5,0.6,1.2,4.0,0.0,10.0,0.4,69.2,2,0,0,3.5
Pho nam,89.0,2.2,0.6,12.0,455.0,11.0,0.8,1.9,5.9,0.0,15.0,0.7,179.5,2,0,0,3.0
Banh mi,180.0,6.9,1.9,40.0,239.0,14.0,0.8,1.7,15.0,0.4,28.0,1.4,227.9,2,0,20,4.0
Banh mi thit heo,180.0,6.9,1.9,40.0,239.0,14.0,0.8,1.7,15.0,0.4,28.0,1.4,227.9,2,0,20,4.0
Banh mi ga,180.0,6.9,1.9,40.0,239.0,14.0,0.8,1.7,15.0,0.4,28.0,1.4,227.9,2,0,20,4.0
Banh goi,211.0,10.0,2.3,25.0,372.0,20.0,1.3,1.0,9.4,0.1,38.0,1.4,185.9,2,0,0,3.5
Banh can,202.0,10.0,2.1,29.0,301.0,16.0,0.3,0.2,11.0,0.3,17.0,1.1,154.0,2,0,0,3.5
Banh giay,212.0,3.8,0.4,0.0,133.0,40.0,1.2,0.1,3.0,0.0,6.5,0.2,38.4,2,0,0,3.5
Banh cuon,118.0,5.1,1.2,39.0,720.0,8.7,0.6,1.2,9.6,0.0,14.0,0.7,326.5,2,0,0,3.0
Banh khot,202.0,10.0,2.1,29.0,301.0,16.0,0.3,0.2,11.0,0.3,17.0,1.1,154.0,2,0,0,3.5
Banh bot loc ,160.0,6.6,0.7,30.0,260.0,20.0,0.6,1.6,4.8,0.1,26.0,0.6,87.8,2,0,0,3.5
Banh xeo,139.0,4.9,2.1,22.0,99.0,17.0,1.2,0.9,6.2,0.1,19.0,0.9,144.5,2,0,0,3.5
